date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race
2019-05-25,Running,False,Boulder Running,4.41,429,00:38:59,132,147,2.0,171,179,0 days 00:08:51,0 days 00:07:17,116,113,1.06,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,38:59,0:00,0.0,0:00,No,03:42.59,5,0.0,4,garmin,0
2019-05-26,Pool Swimming,False,Lap Swimming,"1,000",211,00:19:58,0,0,0.0,0,0,0 days 00:02:00,0 days 00:01:37,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,417,40,21,19:58,0:00,0.0,0:00,No,00:25.75,9,0.0,4,garmin,0
2019-05-27,Running,False,Boulder Running,0.82,101,00:07:58.7,137,154,1.6,167,174,0 days 00:09:43,0 days 00:08:06,0,20,0.99,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,7:58.7,0:00,0.0,0:00,No,00:00.00,1,0.0,4,garmin,0
2019-05-27,Running,False,Boulder Running,6.31,665,00:37:40,175,185,4.3,175,190,0 days 00:05:58,0 days 00:05:32,166,87,1.54,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,37:40,0:00,0.0,0:00,No,01:52.58,7,0.0,4,garmin,0
2019-05-27,Running,False,Boulder Running,1.03,144,00:09:50.2,147,159,2.0,172,177,0 days 00:09:35,0 days 00:08:13,0,88,0.98,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,9:50.2,0:00,0.0,0:00,No,00:24.18,2,0.0,4,garmin,0
2019-05-29,Running,False,Lafayette Running,6.20,705,00:51:38,146,160,3.0,166,172,0 days 00:08:19,0 days 00:06:49,151,141,1.16,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,51:38,0:00,0.0,0:00,No,01:42.73,7,0.0,4,garmin,0
2019-05-30,Running,False,Lafayette Running,4.09,549,00:40:23,0,0,0.0,166,186,0 days 00:09:53,0 days 00:08:00,64,49,0.98,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,40:23,0:00,0.0,0:00,No,00:53.22,5,0.0,4,garmin,0
2019-05-31,Running,False,Lafayette Running,14.77,"1,967",01:56:29,0,0,0.0,170,187,0 days 00:07:53,0 days 00:05:42,357,354,1.2,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:56:29,0:00,0.0,0:00,No,06:33.54,15,0.0,4,garmin,0
2019-06-01,Running,False,Lafayette Running,7.04,744,00:59:10,141,156,2.5,168,176,0 days 00:08:24,0 days 00:06:52,149,139,1.14,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,59:10,0:00,0.0,0:00,No,00:20.32,8,0.0,4,garmin,0
2019-06-03,Running,False,Boulder Running,2.12,205,01:59:33,0,0,0.0,112,158,0 days 00:56:28,0 days 00:16:55,500,471,0.25,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,1:59:33,0:00,0.0,0:00,No,03:56.99,3,0.0,4,garmin,0
