,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_bike_cadence,max_bike_cadence,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,race,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
32,80,2018-09-12,Running,False,Sparta Running,5.32,624,00:46:11,136,146.0,2.3,154,170,8:41,7:16,112,108,1.18,9.1,11.0,276,47.8% L / 52.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,46:11,0:00,73.4,0:00,No,00:00.00,6.0,0.0,0,2,garmin,0,0 days 00:08:41,0 days 00:08:41,21.052631578947366,0.7771428571428571,10.134357005758156,6.90978886756238,10.13443756389498,13.040636571188394
33,83,2018-09-14,Running,False,Sparta Running,8.88,"1,302",01:15:17,159,181.0,4.6,154,164,8:29,6:58,194,190,1.23,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:15:17,0:00,68.0,0:00,No,00:00.00,9.0,0.0,0,2,garmin,0,0 days 00:08:29,0 days 00:08:29,21.846846846846844,0.9085714285714286,10.37328094302554,7.072691552062869,10.373369739141356,11.417230844966902
34,86,2018-09-16,Running,False,Sparta Running,9.02,"1,179",01:15:38,148,165.0,3.4,154,167,8:23,6:40,203,190,1.22,8.9,11.2,264,48.1% L / 51.9% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:15:38,0:00,78.8,0:00,No,00:00.00,10.0,0.0,0,2,garmin,0,0 days 00:08:23,0 days 00:08:23,22.505543237250556,0.8457142857142858,10.497017892644136,7.1570576540755475,10.497113248007388,12.412127151360087
35,87,2018-09-18,Running,False,Sparta Running,3.43,426,00:30:06,137,149.0,2.5,154,213,8:47,6:30,62,66,1.17,9.6,11.5,264,47.5% L / 52.5% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:06,0:00,77.0,0:00,No,00:00.00,4.0,0.0,0,2,garmin,0,0 days 00:08:47,0 days 00:08:47,18.075801749271136,0.7828571428571428,10.01897533206831,6.83111954459203,10.019034043048764,12.798036186376159
36,89,2018-09-19,Running,False,Sparta Running,3.8,445,00:30:07,143,174.0,3.0,157,172,7:55,5:46,72,79,1.27,8.6,11.0,257,47.2% L / 52.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:07,0:00,77.0,0:00,No,00:00.00,4.0,0.0,0,2,garmin,0,0 days 00:07:55,0 days 00:07:55,18.947368421052634,0.8171428571428572,11.11578947368421,7.578947368421052,11.115861044978933,13.603326453645547
37,91,2018-09-20,Running,False,O'Fallon Running,3.55,418,00:30:01,140,159.0,2.6,158,186,8:28,5:46,138,121,1.17,9.1,10.7,262,48.4% L / 51.6% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:01,0:00,80.6,0:00,No,00:00.00,33.0,0.0,0,2,garmin,0,0 days 00:08:28,0 days 00:08:28,38.87323943661972,0.8,10.393700787401574,7.086614173228346,10.393982475145295,12.992478093931618
38,95,2018-09-23,Running,False,Sparta Running,6.82,"1,011",00:58:30,160,177.0,4.1,154,162,8:35,7:23,167,151,1.22,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,58:30,0:00,73.4,0:00,No,00:00.00,7.0,0.0,0,2,garmin,0,0 days 00:08:35,0 days 00:08:35,24.48680351906158,0.9142857142857143,10.252427184466018,6.990291262135922,10.252537437540926,11.213712822310388
39,96,2018-09-24,Running,False,Sparta Running,4.73,469,00:40:06,132,146.0,1.9,155,168,8:28,7:27,105,108,1.2,9.2,11.3,260,47.8% L / 52.2% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,40:06,0:00,69.8,0:00,No,00:00.00,5.0,0.0,0,2,garmin,0,0 days 00:08:28,0 days 00:08:28,22.19873150105708,0.7542857142857143,10.393700787401574,7.086614173228346,10.393792647470516,13.779649343237425
40,98,2018-09-26,Running,False,Sparta Running,5.05,586,00:39:04,143,176.0,3.1,158,173,7:44,5:50,118,108,1.3,8.4,11.1,252,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,39:04,0:00,60.8,0:00,No,00:00.00,6.0,0.0,0,2,garmin,0,0 days 00:07:44,0 days 00:07:44,23.366336633663366,0.8171428571428572,11.379310344827585,7.758620689655173,11.379421773571071,13.925865806817743
41,101,2018-09-28,Running,False,Sparta Running,3.99,503,00:31:05,152,172.0,3.2,157,185,7:48,4:57,66,115,1.31,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,31:05,0:00,68.0,0:00,No,00:00.00,33.0,0.0,0,2,garmin,0,0 days 00:07:48,0 days 00:07:48,16.541353383458645,0.8685714285714285,11.282051282051281,7.6923076923076925,11.282106646533524,12.989267520680045
42,103,2018-09-30,Running,False,Sparta Running,11.66,"1,291",01:30:03,145,157.0,2.9,158,248,7:43,5:38,223,236,1.31,8.4,11.3,245,48.2% L / 51.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1:30:03,0:00,60.8,0:00,No,00:00.00,12.0,0.0,0,2,garmin,0,0 days 00:07:43,0 days 00:07:43,19.125214408233276,0.8285714285714286,11.403887688984879,7.775377969762419,11.403962500128113,13.763403017395998
43,104,2018-10-02,Running,False,Sparta Running,2.29,286,00:20:03,135,143.0,2.2,154,164,8:45,7:39,39,49,1.17,9.3,11.1,269,47.7% L / 52.3% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,20:03,0:00,75.2,0:00,No,00:00.00,3.0,0.0,0,2,garmin,0,0 days 00:08:45,0 days 00:08:45,17.03056768558952,0.7714285714285715,10.057142857142855,6.857142857142857,10.057195173066615,13.037104853975242
44,106,2018-10-04,Running,False,Sparta Running,3.88,453,00:30:02,141,170.0,3.0,157,172,7:45,5:48,69,72,1.3,8.4,11.1,257,47.2% L / 52.8% R,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,30:02,0:00,66.2,0:00,No,00:00.00,4.0,0.0,0,2,garmin,0,0 days 00:07:45,0 days 00:07:45,17.783505154639176,0.8057142857142857,11.354838709677418,7.741935483870968,11.3549031142389,14.092964858097925
