,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,training_stress_scoreâ,grit,flow,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
41,51,2020-08-28 11:58:03,Running,2020-08-28 11:58:03,False,Longview - W01D6-Fartlek Run,4.84,720,00:46:46,165,188,141,163,0 days 00:09:40,0 days 00:07:25,361,423,1.18,0.0,0.0,0.0,0.0,0.0,46:46,0:00,0.0,0:00,No,00:00.85,7,0.0,5,garmin,0,74.58677685950414,0.9428571428571428,9.103448275862068,6.206896551724138,9.10435653568669,9.656135719667702
42,52,2020-08-26 10:59:30,Running,2020-08-26 10:59:30,False,Longview - W01D3-Intervals,4.27,600,00:40:48,162,185,148,164,0 days 00:09:34,0 days 00:06:34,151,292,1.12,0.0,0.0,0.0,0.0,0.0,40:48,0:00,0.0,0:00,No,00:01.16,12,0.0,5,garmin,0,35.36299765807963,0.9257142857142857,9.198606271777003,6.2717770034843205,9.198812580439595,9.936988898623019
43,54,2020-08-22 06:06:58,Running,2020-08-22 06:06:58,False,Longview Running,10.06,"1,279",01:41:50,148,168,146,158,0 days 00:10:08,0 days 00:08:20,545,692,1.09,0.0,0.0,0.0,0.0,0.0,1:41:50,0:00,0.0,0:00,No,00:35.49,11,0.0,5,garmin,0,54.17495029821073,0.8457142857142858,8.68421052631579,5.921052631578948,8.684667633572507,10.269032674832356
44,55,2020-08-20 12:38:58,Running,2020-08-20 12:38:58,False,Longview Running,5.15,722,00:52:16,154,173,143,159,0 days 00:10:09,0 days 00:08:04,194,315,1.11,0.0,0.0,0.0,0.0,0.0,52:16,0:00,0.0,0:00,No,00:02.08,7,0.0,5,garmin,0,37.66990291262135,0.88,8.669950738916256,5.911330049261084,8.670171388069226,9.852467486442302
45,56,2020-08-19 18:58:09,Running,2020-08-19 18:58:09,False,Longview Running,3.08,435,00:35:36,144,159,141,180,0 days 00:11:34,0 days 00:08:38,92,253,0.99,0.0,0.0,0.0,0.0,0.0,35:36,0:00,0.0,0:00,No,01:08.85,4,0.0,5,garmin,0,29.87012987012987,0.8228571428571428,7.60806916426513,5.187319884726225,7.608190908206687,9.246065339834516
46,57,2020-08-19 05:05:31,Running,2020-08-19 05:05:31,False,Longview Running,6.14,803,00:53:35,164,185,148,158,0 days 00:08:44,0 days 00:07:28,102,249,1.24,0.0,0.0,0.0,0.0,0.0,53:35,0:00,0.0,0:00,No,02:00.04,7,0.0,5,garmin,0,16.61237785016287,0.9371428571428572,10.076335877862595,6.870229007633588,10.076385751072547,10.752240892912779
47,58,2020-08-17 11:42:51,Running,2020-08-17 11:42:51,False,Longview Running,5.56,775,01:04:25,151,161,146,158,0 days 00:11:35,0 days 00:08:20,118,240,0.95,0.0,0.0,0.0,0.0,0.0,1:04:25,0:00,0.0,0:00,No,06:30.38,6,0.0,5,garmin,0,21.223021582733814,0.8628571428571429,7.597122302158272,5.179856115107913,7.59718367326491,8.804683065042115
48,60,2020-08-15 06:06:26,Running,2020-08-15 06:06:26,False,Longview Running,10.26,"1,586",01:51:22,164,182,140,204,0 days 00:10:52,0 days 00:09:01,449,620,1.06,0.0,0.0,0.0,0.0,0.0,1:51:22,0:00,0.0,0:00,No,02:26.43,11,0.0,5,garmin,0,43.76218323586745,0.9371428571428572,8.098159509202453,5.521472392638037,8.098437659153708,8.641625550926213
49,61,2020-08-13 07:44:28,Running,2020-08-13 07:44:28,False,Longview Running,5.39,751,00:59:31,147,167,143,166,0 days 00:11:03,0 days 00:07:56,203,325,1.02,0.0,0.0,0.0,0.0,0.0,59:31,0:00,0.0,0:00,No,04:24.54,6,0.0,5,garmin,0,37.66233766233766,0.84,7.963800904977374,5.4298642533936645,7.964003501307754,9.480956549175898
50,63,2020-08-05 11:20:30,Running,2020-08-05 11:20:30,False,Longview Running,4.91,613,01:04:07,135,143,149,160,0 days 00:13:03,0 days 00:08:43,285,463,0.83,0.0,0.0,0.0,0.0,0.0,1:04:07,0:00,0.0,0:00,No,11:57.58,5,0.0,5,garmin,0,58.044806517311606,0.7714285714285715,6.743295019157087,4.597701149425287,6.743702481928354,8.741836550647866
51,65,2020-08-03 13:07:39,Running,2020-08-03 13:07:39,False,Longview Running,4.52,632,00:51:53,150,167,139,167,0 days 00:11:30,0 days 00:07:45,289,404,1.01,0.0,0.0,0.0,0.0,0.0,51:53,0:00,0.0,0:00,No,06:09.57,5,0.0,5,garmin,0,63.93805309734514,0.8571428571428571,7.652173913043478,5.217391304347826,7.652734947954622,8.928190772613727
52,66,2020-08-01 06:05:36,Running,2020-08-01 06:05:36,False,Longview Running,9.01,"1,163",01:25:41,154,176,144,157,0 days 00:09:31,0 days 00:07:42,469,669,1.18,0.0,0.0,0.0,0.0,0.0,1:25:41,0:00,0.0,0:00,No,00:03.27,10,0.0,5,garmin,0,52.05327413984462,0.88,9.24693520140105,6.304728546409807,9.247384552207008,10.508391536598872
53,67,2020-07-29 11:49:28,Running,2020-07-29 11:49:28,False,Longview Running,4.2,612,00:43:25,161,177,141,153,0 days 00:10:21,0 days 00:08:35,138,262,1.1,0.0,0.0,0.0,0.0,0.0,43:25,0:00,0.0,0:00,No,02:21.100,5,0.0,5,garmin,0,32.857142857142854,0.92,8.502415458937197,5.797101449275362,8.502580085484238,9.241934875526345
54,69,2020-07-25 06:03:19,Running,2020-07-25 06:03:19,False,Longview Running,8.09,"1,087",01:17:43,157,173,145,153,0 days 00:09:36,0 days 00:08:30,482,653,1.15,0.0,0.0,0.0,0.0,0.0,1:17:43,0:00,0.0,0:00,No,01:10.72,9,0.0,5,garmin,0,59.57972805933251,0.8971428571428571,9.166666666666666,6.25,9.167250241839946,10.21827256256045
55,70,2020-07-22 05:05:52,Running,2020-07-22 05:05:52,False,Longview Running,6.01,789,00:56:02,158,185,147,156,0 days 00:09:19,0 days 00:08:03,200,338,1.18,0.0,0.0,0.0,0.0,0.0,56:02,0:00,0.0,0:00,No,00:07.01,7,0.0,5,garmin,0,33.277870216306155,0.9028571428571428,9.445438282647585,6.440071556350627,9.44562588185898,10.461927400793176
56,71,2020-07-21 15:05:45,Running,2020-07-21 15:05:45,False,Longview Running,4.29,619,00:42:35,164,181,138,157,0 days 00:09:56,0 days 00:07:08,92,233,1.18,0.0,0.0,0.0,0.0,0.0,42:35,0:00,0.0,0:00,No,03:08.79,5,0.0,5,garmin,0,21.445221445221446,0.9371428571428572,8.859060402684563,6.040268456375839,8.859133474366063,9.4533436464272
57,72,2020-07-18 06:06:27,Running,2020-07-18 06:06:27,False,Longview Running,10.03,"1,283",01:37:24,155,172,143,158,0 days 00:09:42,0 days 00:08:39,266,463,1.16,0.0,0.0,0.0,0.0,0.0,1:37:24,0:00,0.0,0:00,No,00:18.94,11,0.0,5,garmin,0,26.520438683948157,0.8857142857142857,9.072164948453608,6.185567010309279,9.072279386850465,10.242896081927944
