,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
33,51,2020-12-01 13:12:00,Running,12/1/2020 13:12,False,Untitled,6.56,730,1:04:37,132,148,2.8,161,173,0 days 00:09:51,0 days 00:08:17,325,246,1.02,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:04:37,0:00,60.8,0:00,No,05:29.7,7,0,31,18,38,1,garmin,0,49.54268292682927,0.717391304347826,8.934010152284264,6.091370558375635,8.934403428865036,12.454016900842172
34,52,2020-11-29 11:31:00,Running,11/29/2020 11:31,False,Untitled,7.2,716,1:07:37,128,144,2.6,162,174,0 days 00:09:24,0 days 00:07:45,328,335,1.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:07:37,0:00,68.0,0:00,No,01:41.3,8,0,31,15,42,1,garmin,0,45.55555555555556,0.6956521739130435,9.361702127659573,6.382978723404255,9.362050570536002,13.457947695145505
35,54,2020-11-27 14:59:00,Running,11/27/2020 14:59,False,Untitled,6.4,632,0:57:02,129,146,2.6,168,180,0 days 00:08:54,0 days 00:07:39,394,338,1.07,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57:02:00,0:00,62.6,0:00,No,03:33.9,7,0,34,14,45,1,garmin,0,61.5625,0.7010869565217391,9.887640449438202,6.741573033707865,9.888312516422776,14.104259713347215
36,55,2020-11-26 09:44:00,Running,11/26/2020 9:44,False,Untitled,3.12,385,0:32:54,136,170,3.0,152,172,0 days 00:10:33,0 days 00:07:41,240,112,1.01,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32:54:00,0:00,53.6,0:00,No,01:06.8,4,0,29,14,40,1,garmin,0,76.92307692307692,0.7391304347826086,8.34123222748815,5.6872037914691935,8.342117389208878,11.286394114812012
37,56,2020-11-25 15:00:00,Running,11/25/2020 15:00,False,Untitled,7.17,743,0:59:53,138,184,3.1,171,180,0 days 00:08:21,0 days 00:07:06,381,279,1.13,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59:53:00,0:00,55.4,0:00,No,01:19.4,8,0,35,21,47,1,garmin,0,53.13807531380753,0.75,10.538922155688622,7.185628742514971,10.539455857896597,14.052607810528796
38,57,2020-11-25 09:51:00,Running,11/25/2020 9:51,False,Untitled,3.94,728,2:18:13,100,152,1.4,55,160,1 days 11:06:00,0 days 00:17:51,768,712,0.84,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2:18:13,0:00,55.4,0:00,No,30:27.4,4,0,18,18,18,1,garmin,0,194.92385786802032,0.5434782608695652,0.04178537511870845,0.02849002849002849,0.041813839946595675,0.07693746550173605
39,60,2020-11-23 09:16:00,Running,11/23/2020 9:16,False,Untitled,7.17,673,1:01:16,127,148,2.8,173,184,0 days 00:08:33,0 days 00:07:34,479,525,1.09,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:01:16,0:00,57.2,0:00,No,01:24.7,8,0,34,14,47,1,garmin,0,66.80613668061366,0.6902173913043478,10.292397660818713,7.017543859649122,10.293221484082306,14.913013803709799
40,62,2020-11-21 09:39:00,Running,11/21/2020 9:39,False,Untitled,10.47,879,1:28:38,128,141,3.0,172,188,0 days 00:08:28,0 days 00:07:33,600,554,1.11,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1:28:38,0:00,51.8,0:00,No,04:22.9,11,0,33,14,45,1,garmin,0,57.306590257879655,0.6956521739130435,10.393700787401574,7.086614173228346,10.394312952714602,14.94182486952724
41,64,2020-11-19 08:29:00,Running,11/19/2020 8:29,False,Untitled,6.62,564,0:56:34,126,141,2.4,171,179,0 days 00:08:33,0 days 00:07:29,351,390,1.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56:34:00,0:00,46.4,0:00,No,05:13.0,7,0,32,18,46,1,garmin,0,53.02114803625378,0.6847826086956522,10.292397660818713,7.017543859649122,10.292916587525776,15.0309258103551
42,65,2020-11-17 14:13:00,Running,11/17/2020 14:13,False,Untitled,6.34,578,0:55:22,134,174,3.0,167,180,0 days 00:08:44,0 days 00:07:35,331,299,1.1,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55:22:00,0:00,68.0,0:00,No,02:51.4,7,0,35,16,43,1,garmin,0,52.20820189274448,0.7282608695652174,10.076335877862595,6.870229007633588,10.076828452052373,13.836839068489825
