,index,date,activity_type,date.1,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
38,113,2020-09-29 18:05:50,Running,2020-09-29 18:05:50,False,Longview - Speed Repeats,5.5,564,1:03:01,157,189,148,190,11:28,8:27,1122,"1,145",0.96,0,0,0,0,0,0,0,0,0,0,1:03:01,0:00,0,0:00,No,00:01.31,23,0,10,garmin,0,0 days 00:11:28,0 days 00:11:28,204.0,0.7889447236180904,7.674418604651161,5.232558139534883,7.680144534115223,9.734705492286174
39,114,2020-09-28 12:04:06,Running,2020-09-28 12:04:06,False,Longview - Easy Run,3.44,365,0:39:07,160,179,155,177,11:22,9:29,184,256,0.92,0,0,0,0,0,0,0,0,0,0,1:15:07,0:00,0,0:00,No,00:04.82,6,0,10,garmin,0,0 days 00:11:22,0 days 00:11:22,53.48837209302326,0.8040201005025126,7.741935483870967,5.278592375366569,7.742332729681893,9.629526332541854
40,115,2020-09-26 17:56:05,Running,2020-09-26 17:56:05,False,Longview - Long Easy Run,5.06,559,1:01:17,160,182,144,178,12:06,10:20,958,988,0.93,0,0,0,0,0,0,0,0,0,0,1:01:17,0:00,0,0:00,No,00:06.05,8,0,10,garmin,0,0 days 00:12:06,0 days 00:12:06,189.32806324110675,0.8040201005025126,7.2727272727272725,4.958677685950414,7.277401285689931,9.05126784907685
41,117,2020-09-24 18:12:36,Running,2020-09-24 18:12:36,False,Longview - Stride Repeats,2.52,244,0:30:56,150,175,143,198,12:15,9:37,171,272,0.94,0,0,0,0,0,0,0,0,0,0,1:6:56,0:00,0,0:00,No,00:02.54,24,0,10,garmin,0,0 days 00:12:15,0 days 00:12:15,67.85714285714286,0.7537688442211056,7.183673469387755,4.8979591836734695,7.18426669780983,9.531127152427707
42,120,2020-09-20 18:37:48,Running,2020-09-20 18:37:48,False,Longview Running,1.51,157,0:17:00,157,171,164,170,11:14,9:57,59,49,0.88,0,0,0,0,0,0,0,0,0,0,17:00,0:00,0,0:00,No,06:00.40,2,0,10,garmin,0,0 days 00:11:14,0 days 00:11:14,39.0728476821192,0.7889447236180904,7.833827893175075,5.3412462908011875,7.834042389753242,9.929773474910162
43,121,2020-09-19 09:30:46,Running,2020-09-19 9:30:46,False,Longview - Long Easy Run,5.45,620,1:10:10,163,185,137,241,12:52,9:53,1339,"1,499",0.92,0,0,0,0,0,0,0,0,0,0,1:10:10,0:00,0,0:00,No,00:02.61,9,0,10,garmin,0,0 days 00:12:52,0 days 00:12:52,245.6880733944954,0.8190954773869347,6.839378238341968,4.66321243523316,6.846778584534313,8.358950541854774
44,124,2020-09-14 12:03:39,Running,2020-09-14 12:03:39,False,Longview - Easy Run,3.44,355,0:40:03,153,174,157,172,11:39,10:07,85,144,0.88,0,0,0,0,0,0,0,0,0,0,1:16:03,0:00,0,0:00,No,00:01.66,6,0,10,garmin,0,0 days 00:11:39,0 days 00:11:39,24.709302325581397,0.7688442211055276,7.553648068669528,5.150214592274678,7.553730782378318,9.824787096034544
45,125,2020-09-11 18:23:21,Running,2020-09-11 18:23:21,False,Longview - Long Easy Run,4.99,533,1:00:13,158,182,152,172,12:04,10:29,249,371,0.88,0,0,0,0,0,0,0,0,0,0,1:00:13,0:00,0,0:00,No,00:01.73,9,0,10,garmin,0,0 days 00:12:04,0 days 00:12:04,49.899799599198396,0.7939698492462312,7.292817679558011,4.972375690607735,7.29314335530767,9.18566789687485
46,126,2020-09-10 18:10:30,Running,2020-09-10 18:10:30,False,Longview - Stride Repeats,2.51,243,0:28:48,150,179,155,186,11:28,8:52,164,157,0.91,0,0,0,0,0,0,0,0,0,0,1:4:48,0:00,0,0:00,No,00:03.03,20,0,10,garmin,0,0 days 00:11:28,0 days 00:11:28,65.33864541832669,0.7537688442211056,7.674418604651161,5.232558139534883,7.675006190423457,10.18217487929512
47,127,2020-09-08 17:59:03,Running,2020-09-08 17:59:03,False,Longview - Easy Run,3.45,358,0:40:02,155,180,152,250,11:35,10:12,151,200,0.92,0,0,0,0,0,0,0,0,0,0,1:16:02,0:00,0,0:00,No,00:01.71,6,0,10,garmin,0,0 days 00:11:35,0 days 00:11:35,43.768115942028984,0.7788944723618091,7.597122302158272,5.179856115107913,7.597383313585414,9.754059867119338
