date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2020-12-10 19:48:26,Strength Training,2020-12-10 19:48:26,False,Strength,0,44,0:10:02,104,137,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,7,1,10:02,0:00,0,0:00,No,10:01.84,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-10 19:25:16,Treadmill Running,2020-12-10 19:25:16,False,Treadmill Running,1.5,160,0:17:38,152,173,145,170,11:44,8:30,0,0,0.95,0,0,0,0,0,0,0,0,0,0,17:38,0:00,0,0:00,No,05:46.19,2,0,10,garmin,0,0 days 00:11:44,0 days 00:11:44
2020-12-09 19:31:06,Treadmill Running,2020-12-09 19:31:06,False,Treadmill Running,1.01,97,0:11:14,144,158,147,173,11:09,6:16,0,0,0.98,0,0,0,0,0,0,0,0,0,0,11:14,0:00,0,0:00,No,00:03.71,2,0,10,garmin,0,0 days 00:11:09,0 days 00:11:09
2020-12-08 18:17:58,Running,2020-12-08 18:17:58,False,Longview Running,2,189,0:20:33,154,185,168,177,10:15,9:25,59,82,0.94,0,0,0,0,0,0,0,0,0,0,20:33,0:00,0,0:00,No,00:01.74,3,0,10,garmin,0,0 days 00:10:15,0 days 00:10:15
2020-12-07 17:45:10,Strength Training,2020-12-07 17:45:10,False,Strength,0,186,0:42:27,107,158,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9,2,1:18:27,0:00,0,0:00,No,42:27.13,1,0,10,garmin,0,00:00:00,00:00:00
2020-12-07 17:20:37,Treadmill Running,2020-12-07 17:20:37,False,Treadmill Running,2,189,0:21:05,151,178,156,174,10:31,6:13,0,0,0.98,0,0,0,0,0,0,0,0,0,0,21:05,0:00,0,0:00,No,00:01.82,3,0,10,garmin,0,0 days 00:10:31,0 days 00:10:31
2020-12-06 18:13:22,Running,2020-12-06 18:13:22,False,Longview Running,1,93,0:10:53,142,163,165,185,10:51,9:37,30,36,0.9,0,0,0,0,0,0,0,0,0,0,10:53,0:00,0,0:00,No,00:02.34,2,0,10,garmin,0,0 days 00:10:51,0 days 00:10:51
2020-12-05 18:28:27,Treadmill Running,2020-12-05 18:28:27,False,Treadmill Running,1.86,180,0:20:04,155,183,159,173,10:46,6:19,0,0,0.94,0,0,0,0,0,0,0,0,0,0,20:04,0:00,0,0:00,No,09:13.86,2,0,10,garmin,0,0 days 00:10:46,0 days 00:10:46
2020-12-04 11:30:35,Treadmill Running,2020-12-04 11:30:35,False,Treadmill Running,1.37,135,0:15:07,154,184,162,171,11:04,8:06,0,0,0.9,0,0,0,0,0,0,0,0,0,0,15:07,0:00,0,0:00,No,04:02.70,2,0,10,garmin,0,0 days 00:11:04,0 days 00:11:04
2020-12-04 07:43:39,Indoor Cycling,2020-12-04 7:43:39,False,Indoor Cycling,0,162,0:30:01,116,168,0,0,0,0,0,0,0.0,0,0,75,111,0,0,0,2271,0,0,1:6:01:00.000,0:00,0,0:00,No,30:00.71,1,0,10,garmin,0,00:00:00,00:00:00
