date,activity_type,date,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,max_depth,bottom_time,min_temp,gas_type,surface_interval,decompression,weight,current,surface_conditions,water_type,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,stress_change,stress_start,stress_end,athlete_id,filetype,is_race
2020-12-08 12:57:57,Cardio,2020-12-08 12:57:57,False,Cardio,0.00,338,00:23:00,163,183,3.5,0,0,0 days 00:00:00,0 days 00:00:00,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,23:00,0,0:00,86.0,0,0:00,No,0,0,0,0,22:59.67,1,0.0,22,22,22,0,0,0,8,garmin,0
2020-12-06 14:35:50,Running,2020-12-06 14:35:50,False,Denver Running,5.54,781,00:56:40,166,177,4.1,149,204,0 days 00:10:14,0 days 00:08:16,69,56,1.05,11.9,12.7,300,50.2% L / 49.8% R,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,56:40,0,0:00,71.6,0,0:00,No,0,0,0,0,05:45.20,6,0.0,35,22,42,0,0,0,8,garmin,0
2020-12-01 16:18:45,Running,2020-12-01 16:18:45,False,Denver Running,2.97,385,00:27:02,161,182,3.6,144,167,0 days 00:09:06,0 days 00:07:27,125,98,1.22,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,27:02,0,0:00,64.4,0,0:00,No,0,0,0,0,08:46.98,3,0.0,18,18,18,0,0,0,8,garmin,0
2020-11-30 18:40:51,Virtual Cycling,2020-11-30 18:40:51,False,Zwift - FTP Builder - Foundation,9.09,301,00:43:51,121,148,0.0,0,0,12.4,52.7,840,0,0.0,0.0,0.0,0,0,81,107,125,0.0,126,119,166,0.0,0.0,0,0,0,0,0,43:51,0,0:00,0.0,0,0:00,No,0,0,0,0,00:15.00,18,0.0,0,0,0,0,0,0,8,garmin,0
2020-11-26 11:57:40,Running,2020-11-26 11:57:40,False,Berkeley Running,3.11,487,00:36:33,156,195,3.9,143,187,0 days 00:11:45,0 days 00:08:23,817,814,0.95,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,36:33,0,0:00,75.2,0,0:00,No,0,0,0,0,01:15.31,4,0.0,20,20,20,0,0,0,8,garmin,0
2020-11-25 13:13:04,Running,2020-11-25 13:13:04,False,San Francisco Running,3.40,430,00:29:49,171,187,4.2,149,162,0 days 00:08:46,0 days 00:07:36,141,161,1.23,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:49,0,0:00,75.2,0,0:00,No,0,0,0,0,03:15.69,4,0.0,20,20,20,0,0,0,8,garmin,0
2020-11-25 10:39:14,Hiking,2020-11-25 10:39:14,False,Marin County Hiking,1.58,217,00:45:28,86,105,0.4,43,160,0 days 00:28:43,0 days 00:05:27,52,16,1.3,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,45:28,0,0:00,68.0,0,0:00,No,0,0,0,0,45:28.03,1,0.0,16,16,16,0,0,0,8,garmin,0
2020-11-24 13:24:42,Walking,2020-11-24 13:24:42,False,San Francisco Walking,4.22,600,02:00:38,94,141,1.1,63,209,0 days 00:28:34,0 days 00:11:41,341,315,0.9,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:00:38,0,0:00,75.2,0,0:00,No,0,0,0,0,04:20.46,5,0.0,19,19,19,0,0,0,8,garmin,0
2020-11-21 14:57:42,Hiking,2020-11-21 14:57:42,False,Contra Costa County Hiking,4.28,508,01:18:11,107,153,2.0,99,122,0 days 00:18:16,0 days 00:15:22,453,505,0.89,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:18:11,0,0:00,66.2,0,0:00,No,0,0,0,0,01:18:10.75,1,0.0,20,20,20,0,0,0,8,garmin,0
2020-11-20 15:16:54,Running,2020-11-20 15:16:54,False,Denver Running,3.08,284,00:29:02,132,140,2.1,144,163,0 days 00:09:25,0 days 00:07:35,56,43,1.19,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,29:02,0,0:00,60.8,0,0:00,No,0,0,0,0,00:51.10,4,0.0,17,17,17,0,0,0,8,garmin,0
