Kudos Date,Kudos Type,Parent ID
"Jan 10, 2019, 1:41:38 PM",Activity,2068795358
"Jan 12, 2019, 8:06:53 PM",Activity,2073178110
"Jan 14, 2019, 5:06:43 PM",Activity,2075208262
"Jan 21, 2019, 1:22:36 PM",Activity,2093385476
"Jan 23, 2019, 10:31:41 AM",Activity,2097516071
"Jan 23, 2019, 9:57:55 PM",Activity,2098187254
"Feb 8, 2019, 12:01:35 PM",Activity,2131688288
"Feb 8, 2019, 3:27:30 PM",Activity,2132282817
"Feb 13, 2019, 8:18:27 PM",Activity,2141970124
"Feb 13, 2019, 8:19:02 PM",Activity,2137675053
"Feb 16, 2019, 5:13:27 PM",Activity,2150506882
"Feb 24, 2019, 12:04:10 PM",Activity,2171325910
"Feb 24, 2019, 7:24:40 PM",Activity,2172749563
"Feb 25, 2019, 8:19:47 PM",Activity,2175251355
"Feb 25, 2019, 8:19:59 PM",Activity,2175156160
"Mar 1, 2019, 12:28:38 PM",Activity,2183053095
"Mar 3, 2019, 9:38:13 AM",Activity,2186238985
"Mar 5, 2019, 7:10:38 PM",Activity,2193018070
"Mar 6, 2019, 8:40:04 AM",Activity,2194325016
"Mar 13, 2019, 6:42:25 PM",Activity,2211113730
"Mar 13, 2019, 9:39:54 PM",Activity,2208606120
"Mar 23, 2019, 10:50:35 AM",Activity,2233495449
"Apr 9, 2019, 6:33:29 PM",Activity,2268992268
"Apr 11, 2019, 1:13:52 PM",Activity,2281737480
"Apr 27, 2019, 3:29:37 PM",Activity,2322388597
"Apr 27, 2019, 11:58:45 PM",Activity,2322330005
"Apr 28, 2019, 6:23:28 PM",Activity,2325385386
"Apr 28, 2019, 6:43:48 PM",Activity,2325937732
"May 1, 2019, 12:16:10 PM",Activity,2333090659
"May 1, 2019, 5:24:17 PM",Activity,2333709066
"May 3, 2019, 5:05:21 PM",Activity,2338398728
"May 7, 2019, 6:20:10 AM",Activity,2345143105
"May 20, 2019, 12:35:30 PM",Activity,2380317334
"May 25, 2019, 4:02:47 PM",Activity,2396208095
"May 26, 2019, 4:56:10 AM",Activity,2396943027
"May 30, 2019, 3:58:31 PM",Activity,2409176060
"Jun 1, 2019, 6:47:23 PM",Activity,2415057213
"Jun 8, 2019, 6:40:27 AM",Activity,2430423344
"Jun 8, 2019, 6:40:58 AM",Activity,2431218680
"Jun 10, 2019, 3:25:49 PM",Activity,2439208591
"Jun 10, 2019, 6:31:48 PM",Activity,2439351727
"Jun 13, 2019, 11:30:18 AM",Activity,2444538125
"Jun 15, 2019, 5:20:53 PM",Activity,2452299704
"Jun 15, 2019, 5:20:57 PM",Activity,2451486649
"Jun 16, 2019, 7:08:47 PM",Activity,2455797942
"Jun 17, 2019, 7:14:10 AM",Activity,2456767994
"Jun 24, 2019, 9:50:09 PM",Activity,2474935559
"Jun 24, 2019, 9:50:16 PM",Activity,2474945439
"Jun 28, 2019, 5:04:56 PM",Activity,2487567080
"Jul 2, 2019, 11:12:01 AM",Activity,2494338774
"Jul 3, 2019, 12:50:13 PM",Activity,2500390641
"Jul 13, 2019, 10:45:26 AM",Activity,2527279540
"Jul 14, 2019, 10:29:19 AM",Activity,2530359732
"Jul 14, 2019, 10:30:31 AM",Activity,2529958086
"Jul 22, 2019, 4:50:30 PM",Activity,2553730551
"Jul 24, 2019, 6:32:18 AM",Activity,2558309631
"Jul 25, 2019, 6:06:18 AM",Activity,2559659839
"Jul 26, 2019, 7:31:43 PM",Activity,2564979823
"Jul 27, 2019, 1:10:42 PM",Activity,2566696117
"Jul 29, 2019, 6:36:39 AM",Activity,2568308053
"Aug 3, 2019, 12:20:37 PM",Activity,2586532693
"Aug 3, 2019, 8:36:48 PM",Activity,2587507219
"Aug 6, 2019, 10:24:58 AM",Activity,2589102024
"Aug 13, 2019, 11:42:11 AM",Activity,2614362737
"Aug 19, 2019, 8:32:39 AM",Activity,2631827480
"Aug 27, 2019, 5:01:41 PM",Activity,2650770018
"Sep 15, 2019, 4:13:59 AM",Activity,2706778374
"Sep 15, 2019, 6:08:20 PM",Activity,2711355052
"Sep 21, 2019, 1:37:15 PM",Activity,2727586841
