Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Running,2020-05-20 13:51:53,false,"Fairfax County Running","1.76","63","00:12:36","141","166","1.9","179","188","7:10","5:43","61","66","1.22","9.0","10.9","176","50.0% L / 50.0% R","0.0","0.0","0.0","--","--","--","12:36","0:00","0.0","0:00","No","05:05.74","2","0.0"
Running,2020-05-17 14:29:02,false,"Fairfax County Running","1.77","132","00:12:48","177","198","3.0","179","187","7:15","6:24","57","63","1.24","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","12:48","0:00","0.0","0:00","No","05:16.06","2","0.0"
Running,2020-05-15 14:15:59,false,"Fairfax County Running","1.66","126","00:11:53","179","201","3.1","178","187","7:10","6:23","69","71","1.26","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","11:53","0:00","0.0","0:00","No","04:35.75","2","0.0"
Running,2020-05-10 13:56:09,false,"Fairfax County Running","2.28","221","00:23:11","162","184","3.2","173","200","10:11","5:40","50","31","0.91","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","23:11","0:00","0.0","0:00","No","03:01.67","3","0.0"
Running,2020-05-07 13:48:49,false,"Fairfax County Running","1.64","75","00:11:55","157","187","2.1","178","190","7:15","6:36","40","63","1.21","9.1","11.0","179","49.6% L / 50.4% R","0.0","0.0","0.0","--","--","--","11:55","0:00","0.0","0:00","No","04:28.81","2","0.0"
Running,2020-05-05 13:54:06,false,"Fairfax County Running","1.44","83","00:10:38","154","195","2.4","170","208","7:22","6:15","44","69","1.28","10.3","13.5","209","48.5% L / 51.5% R","0.0","0.0","0.0","--","--","--","10:38","0:00","0.0","0:00","No","03:09.28","2","0.0"
Running,2020-05-02 14:24:21,false,"Fairfax County Running","1.65","47","00:11:47","144","160","1.7","178","248","7:09","6:18","34","58","1.23","9.2","11.2","175","48.8% L / 51.2% R","0.0","0.0","0.0","--","--","--","11:47","0:00","0.0","0:00","No","04:27.05","2","0.0"
Running,2020-05-01 13:51:38,false,"Fairfax County Running","1.50","75","00:11:06","149","174","2.2","176","190","7:24","6:29","48","69","1.20","9.4","11.3","177","49.1% L / 50.9% R","0.0","0.0","0.0","--","--","--","11:06","0:00","0.0","0:00","No","03:24.01","2","0.0"
Running,2020-04-29 12:47:05,false,"Fairfax County Running","1.76","57","00:12:30","144","169","1.8","178","190","7:06","6:29","30","49","1.23","9.4","11.1","170","49.2% L / 50.8% R","0.0","0.0","0.0","--","--","--","12:30","0:00","0.0","0:00","No","05:12.74","2","0.0"
Running,2020-04-27 14:16:47,false,"Fairfax County Running","1.66","65","00:12:00","149","177","2.1","178","191","7:14","6:31","58","64","1.20","9.5","11.0","172","49.8% L / 50.2% R","0.0","0.0","0.0","--","--","--","12:00","0:00","0.0","0:00","No","04:30.12","2","0.0"
Running,2020-04-25 15:27:58,false,"Fairfax County Running","1.65","93","00:11:50","152","192","2.6","177","188","7:10","6:27","243","240","1.23","9.7","11.4","182","49.5% L / 50.5% R","0.0","0.0","0.0","--","--","--","11:50","0:00","0.0","0:00","No","04:29.04","2","0.0"
Running,2020-04-24 13:43:56,false,"Fairfax County Running","1.68","99","00:12:22","167","198","2.6","179","201","7:20","6:28","31","52","1.18","8.9","10.8","185","49.4% L / 50.6% R","0.0","0.0","0.0","--","--","--","12:22","0:00","0.0","0:00","No","04:43.92","2","0.0"
Running,2020-04-22 13:56:30,false,"Fairfax County Running","1.67","72","00:12:02","148","167","2.2","179","191","7:13","6:30","65","69","1.22","9.1","11.0","176","49.4% L / 50.6% R","0.0","0.0","0.0","--","--","--","12:02","0:00","0.0","0:00","No","04:32.03","2","0.0"
Running,2020-04-21 11:57:37,false,"Fairfax County Running","1.66","61","00:12:03","152","168","2.0","178","188","7:15","6:19","29","52","1.22","9.0","11.3","173","49.2% L / 50.8% R","0.0","0.0","0.0","--","--","--","12:03","0:00","0.0","0:00","No","04:31.74","2","0.0"
Running,2020-04-20 18:17:09,false,"Fairfax County Running","2.89","256","00:56:00","103","132","1.3","119","228","19:22","16:55","103","86","0.70","0.0","0.0","--","--","0.0","0.0","0.0","--","--","--","56:00","0:00","0.0","0:00","No","16:49.95","3","0.0"
Running,2020-04-19 14:16:10,false,"Fairfax County Running","1.65","58","00:11:34","143","188","1.9","179","188","7:01","6:27","36","58","1.26","8.7","11.0","171","48.9% L / 51.1% R","0.0","0.0","0.0","--","--","--","11:34","0:00","0.0","0:00","No","04:22.68","2","0.0"
Running,2020-04-17 14:02:43,false,"Fairfax County Running","1.65","121","00:11:48","169","194","3.0","180","191","7:08","6:18","190","141","1.20","9.2","10.5","179","49.4% L / 50.6% R","0.0","0.0","0.0","--","--","--","11:48","0:00","0.0","0:00","No","04:25.31","2","0.0"
Running,2020-04-15 14:28:17,false,"Fairfax County Running","1.66","113","00:11:45","163","191","2.8","183","194","7:05","6:15","44","65","1.20","8.8","10.6","171","49.8% L / 50.2% R","0.0","0.0","0.0","--","--","--","11:45","0:00","0.0","0:00","No","04:19.24","2","0.0"
