Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Cycling,2020-09-28 15:02:02,false,"Morton Cycling","4.50","210","00:30:07","--","--","--","--","--","9.0","22.4","20","16","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","30:07","0:00","0.0","0:00","No","30:06.81","1","0.0"
Running,2020-09-28 06:35:27,false,"Morton Running","2.81","378","00:22:25","--","--","--","170","180","7:59","7:26","14","--","1.18","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","22:25","0:00","0.0","0:00","No","06:10.54","3","0.0"
Running,2020-09-25 06:37:03,false,"East Moline Running","3.82","507","00:29:20","--","--","--","169","212","7:41","4:38","159","153","1.24","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","29:20","0:00","0.0","0:00","No","05:46.38","4","0.0"
Cycling,2020-09-23 15:05:04,false,"Morton Cycling","4.53","244","00:28:18","--","--","--","--","--","9.6","21.3","24","23","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","28:18","0:00","0.0","0:00","No","28:18.10","1","0.0"
Running,2020-09-23 06:19:38,false,"Morton Running","4.78","630","00:40:23","--","--","--","169","175","8:27","6:24","34","32","1.13","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","40:23","0:00","0.0","0:00","No","05:42.00","5","0.0"
Running,2020-09-22 06:27:20,false,"Morton Running","3.04","406","00:25:35","--","--","--","169","177","8:25","7:42","17","16","1.13","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","25:35","0:00","0.0","0:00","No","00:23.18","4","0.0"
Running,2020-09-21 06:15:10,false,"Morton Running","3.12","413","00:29:02","--","--","--","169","178","9:19","7:40","33","26","1.02","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","29:02","0:00","0.0","0:00","No","01:04.71","4","0.0"
Running,2020-09-20 11:34:12,false,"Morton Running","1.77","138","01:31:22","--","--","--","116","167","51:29","10:23","36","35","0.27","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","1:31:22","0:00","0.0","0:00","No","37:15.16","2","0.0"
Running,2020-09-20 10:21:41,false,"Morton Running","4.85","648","00:34:40","--","--","--","170","177","7:09","6:06","32","33","1.33","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","34:40","0:00","0.0","0:00","No","05:34.76","5","0.0"
Cycling,2020-09-18 15:06:20,false,"Morton Cycling","3.09","156","00:24:01","--","--","--","--","--","7.7","19.3","--","9","0.00","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","24:01","0:00","0.0","0:00","No","24:01.45","1","0.0"
Running,2020-09-18 07:02:11,false,"Morton Running","1.01","133","00:08:19.8","--","--","--","170","173","8:14","7:51","--","11","1.15","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","8:19.8","0:00","0.0","0:00","No","00:05.59","2","0.0"
Running,2020-09-18 06:14:28,false,"Morton Running","6.21","823","00:42:37","--","--","--","171","178","6:52","6:23","56","59","1.37","0.0","0.0","--","--","--","--","0.0","--","--","--","0.0","0.0","--","--","--","42:37","0:00","0.0","0:00","No","01:21.38","7","0.0"
