,index,date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,aerobic_te,avg_run_cadence,max_run_cadence,avg_pace,best_pace,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_ground_contact_time,avg_gct_balance,avg_run_cadence_1,max_run_cadence_1,normalized_powerâ_npâ,lr_balance,training_stress_scoreâ,max_avg_power_20_min,avg_power,max_power,grit,flow,total_strokes,avg__swolf,avg_stroke_rate,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,avg_resp,min_resp,max_resp,athlete_id,filetype,is_race,ft_per_mile,intensity,spd_ft_s,spd_mph,GAP_ft_s,GAP_by_intensity
36,117,2018-04-03,Running,False,Denver Running,4.26,489,00:35:17,134,143,2.2,179,187,0 days 00:08:17,0 days 00:07:32,69,72,1.08,7.7,8.4,257,48.4% L / 51.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:17,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,16.19718309859155,0.7243243243243244,10.62374245472837,7.2434607645875255,10.623792441795304,14.667176132329336
37,120,2018-04-04,Running,False,Lafayette Running,6.76,742,00:50:05,145,158,2.6,181,191,0 days 00:07:24,0 days 00:06:38,190,210,1.2,7.4,9.0,249,48.4% L / 51.6% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,50:05,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,28.106508875739646,0.7837837837837838,11.89189189189189,8.108108108108107,11.89206037790169,15.1726287580125
38,126,2018-04-07,Running,False,Lafayette Running,2.77,341,00:20:07,155,168,2.6,178,186,0 days 00:07:16,0 days 00:06:34,66,56,1.25,7.6,9.7,250,48.1% L / 51.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:07,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,23.826714801444044,0.8378378378378378,12.110091743119265,8.256880733944953,12.110215046707337,14.454127636392627
39,127,2018-04-08,Running,False,Lafayette Running,5.13,616,00:40:03,145,159,2.6,179,210,0 days 00:07:48,0 days 00:07:18,194,177,1.15,7.7,9.1,254,48.9% L / 51.1% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:03,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,37.81676413255361,0.7837837837837838,11.282051282051281,7.6923076923076925,11.282340651974367,14.39471048700178
40,129,2018-04-08,Running,False,Lafayette Running,10.63,"1,159",01:20:44,146,162,2.8,181,195,0 days 00:07:36,0 days 00:06:51,387,427,1.17,7.4,8.9,253,49.1% L / 50.9% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:20:44,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,36.406396989651924,0.7891891891891892,11.578947368421053,7.894736842105264,11.579222614713839,14.672302628233288
41,134,2018-04-10,Running,False,Lafayette Running,2.37,245,00:20:05,132,142,1.6,176,184,0 days 00:08:28,0 days 00:07:10,56,46,1.08,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:05,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,23.628691983122362,0.7135135135135136,10.393700787401574,7.086614173228346,10.393804863153473,14.567074997601457
42,136,2018-04-11,Running,False,Lafayette Running,7.26,731,00:55:06,144,164,2.5,178,237,0 days 00:07:35,0 days 00:06:04,180,157,1.19,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,55:06,0:00,0.0,0:00,No,00:00.00,11,0.0,0,0,0,3,garmin,0,24.793388429752067,0.7783783783783784,11.604395604395604,7.912087912087912,11.604523540776162,14.90858927113604
43,137,2018-04-12,Running,False,Lafayette Running,2.25,193,00:20:43,119,136,1.3,169,178,0 days 00:09:11,0 days 00:08:10,49,62,1.02,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:43,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,21.77777777777778,0.6432432432432432,9.582577132486387,6.533575317604355,9.582658642273664,14.897410494290991
44,142,2018-04-14,Running,False,Lafayette Running,15.62,"1,590",02:02:19,149,172,3.0,175,186,0 days 00:07:50,0 days 00:07:01,597,551,1.17,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:02:19,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,38.220230473751606,0.8054054054054054,11.23404255319149,7.659574468085107,11.234336872759958,13.948673298393237
45,143,2018-04-15,Running,False,Denver Running,5.33,570,00:40:27,145,156,2.7,181,188,0 days 00:07:35,0 days 00:07:10,105,89,1.18,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:27,0:00,0.0,0:00,No,00:00.00,4,0.0,0,0,0,3,garmin,0,19.69981238273921,0.7837837837837838,11.604395604395604,7.912087912087912,11.604476373888058,14.805711235650282
46,153,2018-04-18,Running,False,Lafayette Running,1.64,112,00:15:20,110,121,1.1,169,176,0 days 00:09:20,0 days 00:08:38,30,36,1.02,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,15:20,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,18.29268292682927,0.5945945945945946,9.428571428571427,6.428571428571428,9.428628013603312,15.857238022878297
47,155,2018-04-19,Running,False,Louisville Running,16.06,"1,472",02:03:46,140,162,2.7,179,190,0 days 00:07:42,0 days 00:05:56,620,535,1.17,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,2:03:46,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,38.605230386052305,0.7567567567567568,11.428571428571427,7.792207792207792,11.428876907036104,15.102444484297708
48,160,2018-04-21,Running,False,Lafayette Running,4.2,406,00:35:04,131,143,1.7,182,190,0 days 00:08:22,0 days 00:07:49,98,115,1.07,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,35:04,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,23.333333333333332,0.7081081081081081,10.51792828685259,7.171314741035856,10.518030990014623,14.853707886661873
49,162,2018-04-22,Running,False,Lafayette Running,5.22,630,00:40:21,148,163,2.8,177,189,0 days 00:07:44,0 days 00:06:39,148,148,1.17,7.9,9.5,256,48.7% L / 51.3% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,40:21,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,28.35249042145594,0.8,11.379310344827585,7.758620689655173,11.379474402820989,14.224343003526236
50,170,2018-04-26,Running,False,Lafayette Running,2.93,307,00:20:16,149,172,2.2,183,192,0 days 00:06:55,0 days 00:06:16,59,62,1.28,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,20:16,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,20.13651877133106,0.8054054054054054,12.722891566265059,8.674698795180722,12.72298409043306,15.79699366932964
51,172,2018-04-27,Running,False,Lafayette Running,12.01,"1,161",01:31:12,145,162,2.6,178,190,0 days 00:07:35,0 days 00:06:34,440,427,1.19,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,1:31:12,0:00,0.0,0:00,No,00:00.00,2,0.0,0,0,0,3,garmin,0,36.63613655287261,0.7837837837837838,11.604395604395604,7.912087912087912,11.604674948040868,14.805964588879728
52,175,2018-04-28,Running,False,Denver Running,3.5,404,00:26:01,144,160,2.5,179,188,0 days 00:07:26,0 days 00:06:46,89,66,1.21,7.5,9.0,253,48.0% L / 52.0% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,26:01,0:00,0.0,0:00,No,00:00.00,1,0.0,0,0,0,3,garmin,0,25.428571428571427,0.7783783783783784,11.838565022421523,8.071748878923767,11.838702313598901,15.209443944554144
53,178,2018-05-01,Running,False,Lafayette Running,5.01,519,00:36:25,141,169,2.5,177,201,0 days 00:07:16,0 days 00:05:18,79,118,1.26,7.5,9.3,255,48.3% L / 51.7% R,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,36:25,0:00,0.0,0:00,No,00:00.00,11,0.0,0,0,0,3,garmin,0,15.768463073852296,0.7621621621621621,12.110091743119265,8.256880733944953,12.11014574729664,15.889198320921123
