date,activity_type,favorite,title,distance,calories,time,avg_hr,max_hr,avg_run_cadence,max_run_cadence,avg_speed,max_speed,elev_gain,elev_loss,avg_stride_length,avg_vertical_ratio,avg_vertical_oscillation,avg_bike_cadence,max_bike_cadence,training_stress_scoreâ,grit,flow,total_strokes,total_reps,total_sets,climb_time,bottom_time,min_temp,surface_interval,decompression,best_lap_time,number_of_laps,max_temp,athlete_id,filetype,is_race,avg_pace,best_pace
2018-09-10,Running,False,Longview Running,4.28,438,1:00:20,139,170,134,248,14:07,8:41,253,266,0.85,0,0,0,0,0,0,0,0,0,0,1:00:20,0:00,0,0:00,No,00:00.00,5,0,10,garmin,0,0 days 00:14:07,0 days 00:14:07
2018-09-11,Running,False,Longview Running,3.0,336,0:31:49,163,187,164,172,10:37,9:09,85,69,0.93,0,0,0,0,0,0,0,0,0,0,1:7:49,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:10:37,0 days 00:10:37
2018-09-14,Running,False,Longview Running,3.13,355,0:41:24,146,180,136,168,13:12,10:16,92,112,1.0,0,0,0,0,0,0,0,0,0,0,1:17:24,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:13:12,0 days 00:13:12
2018-09-14,Running,False,Longview Running,2.0,226,0:24:31,153,169,150,226,12:16,10:29,49,39,0.88,0,0,0,0,0,0,0,0,0,0,1:0:31,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:12:16,0 days 00:12:16
2018-09-15,Running,False,Longview Running,3.0,321,0:39:28,143,159,145,170,13:10,10:56,194,207,0.84,0,0,0,0,0,0,0,0,0,0,1:15:28,0:00,0,0:00,No,00:00.00,3,0,10,garmin,0,0 days 00:13:10,0 days 00:13:10
2018-09-18,Treadmill Running,False,Treadmill Running,2.0,226,0:22:06,157,186,165,170,11:03,9:57,0,0,0.77,0,0,0,0,0,0,0,0,0,0,22:06,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:11:03,0 days 00:11:03
2018-09-19,Treadmill Running,False,Treadmill Running,0.85,103,0:10:49,147,162,167,172,12:42,7:59,0,0,0.76,0,0,0,0,0,0,0,0,0,0,10:49,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:12:42,0 days 00:12:42
2018-09-21,Treadmill Running,False,Treadmill Running,4.0,499,0:46:04,168,188,156,170,11:31,9:29,0,0,0.72,0,0,0,0,0,0,0,0,0,0,1:22:04,0:00,0,0:00,No,00:00.00,4,0,10,garmin,0,0 days 00:11:31,0 days 00:11:31
2018-09-21,Indoor Running,False,Indoor Running,2.0,268,0:27:45,150,166,121,172,13:52,10:01,0,0,0.71,0,0,0,0,0,0,0,0,0,0,1:3:45,0:00,0,0:00,No,00:00.00,2,0,10,garmin,0,0 days 00:13:52,0 days 00:13:52
2018-09-22,Treadmill Running,False,Treadmill Running,1.0,123,0:11:56,159,174,162,169,11:56,11:56,0,0,0.72,0,0,0,0,0,0,0,0,0,0,11:56,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:11:56,0 days 00:11:56
2018-09-22,Treadmill Running,False,Treadmill Running,1.0,114,0:11:29,152,180,162,168,11:29,9:35,0,0,0.74,0,0,0,0,0,0,0,0,0,0,11:29,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:11:29,0 days 00:11:29
2018-09-23,Treadmill Running,False,Treadmill Running,1.0,108,0:10:55,152,161,164,171,10:55,11:38,0,0,0.73,0,0,0,0,0,0,0,0,0,0,10:55,0:00,0,0:00,No,00:00.00,1,0,10,garmin,0,0 days 00:10:55,0 days 00:10:55
